user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CCGPMC024d_JNA_AS_CCGP101_S152_L001_R.bin.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__	N/A	N/A	N/A	N/A	N/A	GCA_019239585.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__Bog-105 sp019239585	76.17	0.02	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019233755.1, s__Bog-105 sp019233755, 95.0, 76.59, 0.06; GCA_003167495.1, s__Bog-105 sp003167495, 95.0, 76.17, 0.08; GCA_003163855.1, s__Bog-105 sp003163855, 95.0, 75.88, 0.05; GCA_003169195.1, s__Bog-105 sp003169195, 95.0, 75.86, 0.05; GCA_019233375.1, s__Bog-105 sp019233375, 95.0, 75.75, 0.04; GCA_019240405.1, s__Bog-105 sp019240405, 95.0, 75.72, 0.02; GCA_019240475.1, s__Bog-105 sp019240475, 95.0, 75.58, 0.05; GCA_019244055.1, s__Bog-105 sp019244055, 95.0, 75.15, 0.03; GCA_019244945.1, s__Bog-105 sp019244945, 95.0, 74.46, 0.01	22.28	11	0.9506606218817806	N/A
CCGPMC024d_JNA_AS_CCGP101_S152_L001_R.bin.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	83.96	0.34	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	18.19	11	0.9767632806746871	N/A
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__	N/A	N/A	N/A	N/A	N/A	GCA_003151425.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425	77.95	0.31	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	14.36	11	0.8974742041528827	Genome has more than 84.2% of markers with multiple hits
CCGPMC024d_JNA_AS_CCGP102_S151_L001_R.bin.4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__	N/A	N/A	N/A	N/A	N/A	GCF_003858395.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__EB88 sp003858395	77.43	0.33	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	48.05	11	0.9467559469595535	N/A
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.1	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.10	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	81.85	0.55	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.28	11	0.9501836447232476	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.12	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.13	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.14	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__	N/A	N/A	N/A	N/A	N/A	GCF_000522985.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa kalamazoonesis	78.3	0.52	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	11.83	11	0.8810556263369872	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.15	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.32	11	0.864916895917588	N/A
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.16	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	30.42	11	0.8510925970772762	N/A
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.17	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.9%)
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.18	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.19	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.2	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.2%)
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.20	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	ANI	classification based on placement in class-level tree	GCA_903944925.1, s__Rhodopila sp903944925, 95.0, 78.97, 0.41; GCA_903915725.1, s__Rhodopila sp903915725, 95.0, 78.64, 0.4; GCF_002937115.1, s__Rhodopila globiformis, 95.0, 78.57, 0.44; GCF_009765975.1, s__Rhodopila sp009765975, 95.0, 78.49, 0.4; GCA_003506895.1, s__Rhodopila sp003506895, 95.0, 78.49, 0.38; GCA_903851415.1, s__Rhodopila sp903851415, 95.0, 78.42, 0.41; GCA_903932145.1, s__Rhodopila sp903932145, 95.0, 78.26, 0.36; GCA_018240405.1, s__Rhodopila sp018240405, 95.0, 77.56, 0.34	32.76	11	0.9581566853114257	N/A
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	87.24	0.65	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.43	11	0.9784096912200864	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.6	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.7%)
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.7	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.8	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.10	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.11	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.12	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	83.82	0.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	65.53	11	0.9632976592216457	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 17.5% of markers with multiple hits
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodopila;s__	ANI	classification based on placement in class-level tree	GCA_003506895.1, s__Rhodopila sp003506895, 95.0, 78.88, 0.37; GCF_002937115.1, s__Rhodopila globiformis, 95.0, 78.86, 0.48; GCF_009765975.1, s__Rhodopila sp009765975, 95.0, 78.62, 0.46; GCA_903851415.1, s__Rhodopila sp903851415, 95.0, 78.58, 0.37; GCA_903944925.1, s__Rhodopila sp903944925, 95.0, 78.43, 0.41; GCA_903915725.1, s__Rhodopila sp903915725, 95.0, 78.35, 0.39; GCA_903932145.1, s__Rhodopila sp903932145, 95.0, 78.31, 0.39; GCA_018240405.1, s__Rhodopila sp018240405, 95.0, 78.28, 0.34	24.46	11	0.959045358981402	N/A
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	84.24	0.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	15.85	11	0.9842862292510277	N/A
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.16	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.18	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__	N/A	N/A	N/A	N/A	N/A	GCF_000522985.1	95.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa kalamazoonesis	78.04	0.55	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	68.8	11	0.8732004961874988	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	N/A	N/A	N/A	N/A	N/A	GCF_004323635.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__Lichenihabitans psoromatis	77.9	0.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004137085.1, s__Lichenihabitans ramalinae, 95.0, 78.3, 0.44; GCF_004137685.1, s__Lichenihabitans minor, 95.0, 78.23, 0.4	37.33	11	0.9627110083441981	N/A
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__	N/A	N/A	N/A	N/A	N/A	GCF_003858395.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__EB88 sp003858395	77.97	0.35	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.55	11	0.9499433144965573	N/A
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	35.52	11	0.703994309847556	Genome has more than 25.0% of markers with multiple hits
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.7	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	87.11	0.57	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	65.21	11	0.970103455353622	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 10.8% of markers with multiple hits
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.9	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.10	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.11	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.12	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.13	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.14	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.15	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903644035.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__CAHJXG01 sp903644035	79.87	0.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	49.86	11	0.9393731307097566	N/A
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.3	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	49.38	11	0.9603021212371334	N/A
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.4	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.5	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	25.79	11	0.8269350765461098	N/A
