user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.3	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.65	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	15.69	4	0.4135513083875501	Genome domain questionable ( 18.3% Bacterial, 24.5% Archaeal)
CCGPMC024d_JNA_AS_CCGP103_S150_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.0%)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.17	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.8%)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.2	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.65	0.0	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	17.48	4	0.4291744144094388	Genome domain questionable ( 19.2% Bacterial, 28.3% Archaeal)
CCGPMC024d_JNA_AS_CCGP104_S149_L001_R.bin.4	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.55	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.77	4	0.43256895461825146	N/A
CCGPMC024d_JNA_AS_CCGP105_S148_L001_R.bin.1	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.44	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	16.57	4	0.3855438346455199	N/A
CCGPMC024d_JNA_AS_CCGP106_S147_L001_R.bin.1	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.54	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	16.43	4	0.3753213217022211	Genome domain questionable ( 18.3% Bacterial, 26.4% Archaeal)
CCGPMC024d_JNA_AS_CCGP106_S147_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP106_S147_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.8%)
CCGPMC024d_JNA_AS_CCGP107_S146_L001_R.bin.8	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.44	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	23.01	4	0.3812154889142652	N/A
CCGPMC024d_JNA_AS_CCGP108_S145_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.6%)
CCGPMC024d_JNA_AS_CCGP108_S145_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
CCGPMC024d_JNA_AS_CCGP108_S145_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.1%)
CCGPMC024d_JNA_AS_CCGP108_S145_L001_R.bin.7	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.61	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.39	4	0.40686744067103675	N/A
CCGPMC024d_JNA_AS_CCGP109_S144_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP109_S144_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.2%)
CCGPMC024d_JNA_AS_CCGP109_S144_L001_R.bin.8	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.5	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	20.94	4	0.3913332463587994	N/A
CCGPMC024d_JNA_AS_CCGP110_S143_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.9%)
CCGPMC024d_JNA_AS_CCGP110_S143_L001_R.bin.11	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.44	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.65	4	0.36580446531647093	N/A
CCGPMC024d_JNA_AS_CCGP110_S143_L001_R.bin.14	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
CCGPMC024d_JNA_AS_CCGP110_S143_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.7%)
CCGPMC024d_JNA_AS_CCGP110_S143_L001_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.0%)
CCGPMC024d_JNA_AS_CCGP111_S142_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.8%)
CCGPMC024d_JNA_AS_CCGP111_S142_L001_R.bin.11	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.54	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	12.83	4	0.3842250603346106	Genome domain questionable ( 13.3% Bacterial, 18.9% Archaeal)
CCGPMC024d_JNA_AS_CCGP111_S142_L001_R.bin.13	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP111_S142_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.9%)
CCGPMC024d_JNA_AS_CCGP111_S142_L001_R.bin.4	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.6%)
CCGPMC024d_JNA_AS_CCGP112_S141_L001_R.bin.16	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.1%)
CCGPMC024d_JNA_AS_CCGP112_S141_L001_R.bin.3	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	19.48	4	0.41870063527705065	N/A
CCGPMC024d_JNA_AS_CCGP113_S140_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.9%)
CCGPMC024d_JNA_AS_CCGP113_S140_L001_R.bin.4	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.53	0.0	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	11.56	4	0.4381318290394735	N/A
CCGPMC024d_JNA_AS_CCGP113_S140_L001_R.bin.5	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.8%)
CCGPMC024d_JNA_AS_CCGP113_S140_L001_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.0%)
CCGPMC024d_JNA_AS_CCGP114_S139_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP114_S139_L001_R.bin.12	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP114_S139_L001_R.bin.6	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.56	0.01	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.37	4	0.37473213132030864	Genome domain questionable ( 20.8% Bacterial, 30.2% Archaeal)
CCGPMC024d_JNA_AS_CCGP114_S139_L001_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.7%)
CCGPMC024d_JNA_AS_CCGP115_S138_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.2%)
CCGPMC024d_JNA_AS_CCGP115_S138_L001_R.bin.6	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.49	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.03	4	0.3863147178403632	N/A
CCGPMC024d_JNA_AS_CCGP115_S138_L001_R.bin.9	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.7%)
CCGPMC024d_JNA_AS_CCGP116_S137_L001_R.bin.1	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP116_S137_L001_R.bin.3	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	22.43	4	0.42482505344544175	N/A
CCGPMC024d_JNA_AS_CCGP117_S136_L001_R.bin.12	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.1%)
CCGPMC024d_JNA_AS_CCGP117_S136_L001_R.bin.2	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	19.27	4	0.34145454479303605	Genome domain questionable ( 20.8% Bacterial, 26.4% Archaeal)
CCGPMC024d_JNA_AS_CCGP117_S136_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.4%)
CCGPMC024d_JNA_AS_CCGP118_S135_L001_R.bin.10	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.5%)
CCGPMC024d_JNA_AS_CCGP118_S135_L001_R.bin.6	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011041895.1	95.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__DRAE01;f__DRAE01;g__DRAE01;s__DRAE01 sp011041895	74.41	0.0	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	18.46	4	0.39409186243540356	N/A
CCGPMC024d_JNA_AS_CCGP118_S135_L001_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.5%)
CCGPMC024d_JNA_AS_CCGP118_S135_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
CCGPMC024d_JNA_AS_CCGP119_S134_L001_R.bin.11	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.1%)
CCGPMC024d_JNA_AS_CCGP119_S134_L001_R.bin.13	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	15.12	4	0.410070612852858	Genome domain questionable ( 18.3% Bacterial, 22.6% Archaeal)
CCGPMC024d_JNA_AS_CCGP120_S133_L001_R.bin.1	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.57	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	19.03	4	0.4130182680273604	Genome domain questionable ( 18.3% Bacterial, 28.3% Archaeal)
CCGPMC024d_JNA_AS_CCGP120_S133_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.3%)
CCGPMC024d_JNA_AS_CCGP121_S132_L001_R.bin.12	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.7%)
CCGPMC024d_JNA_AS_CCGP121_S132_L001_R.bin.13	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.5	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	10.6	4	0.3924680408615787	Genome domain questionable ( 13.3% Bacterial, 17.0% Archaeal)
CCGPMC024d_JNA_AS_CCGP121_S132_L001_R.bin.3	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.4%)
CCGPMC024d_JNA_AS_CCGP121_S132_L001_R.bin.8	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.5%)
CCGPMC024d_JNA_AS_CCGP122_S131_L001_R.bin.2	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
CCGPMC024d_JNA_AS_CCGP122_S131_L001_R.bin.5	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	22.14	4	0.33111702693878814	N/A
CCGPMC024d_JNA_AS_CCGP122_S131_L001_R.bin.7	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
CCGPMC024d_JNA_AS_CCGP123_S130_L001_R.bin.5	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	17.72	4	0.4215563599983274	N/A
CCGPMC024d_JNA_AS_CCGP123_S130_L001_R.bin.6	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.2%)
CCGPMC024d_JNA_AS_CCGP124_S129_L001_R.bin.11	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
CCGPMC024d_JNA_AS_CCGP124_S129_L001_R.bin.9	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016840425.1	95.0	d__Archaea;p__Asgardarchaeota;c__Wukongarchaeia;o__Wukongarchaeales;f__Wukongarchaeaceae;g__Wukongarchaeum;s__Wukongarchaeum yapensis	74.53	0.01	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	21.37	4	0.41845712560177345	N/A
CCGPMC024d_JNA_AS_CCGP125_S128_L001_R.bin.11	Unclassified Archaea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.2%)
